,Total_2006,Africa_2006,Asia_2006,Europe_2006,Northern America_2006,Oceania_2006,Latin America_2006,Total_2007,Africa_2007,Asia_2007,Europe_2007,Northern America_2007,Oceania_2007,Latin America_2007,Total_2008,Africa_2008,Asia_2008,Europe_2008,Northern America_2008,Oceania_2008,Latin America_2008,Total_2009,Africa_2009,Asia_2009,Europe_2009,Northern America_2009,Oceania_2009,Latin America_2009,Total_2010,Africa_2010,Asia_2010,Europe_2010,Northern America_2010,Oceania_2010,Latin America_2010,Total_2011,Africa_2011,Asia_2011,Europe_2011,Northern America_2011,Oceania_2011,Latin America_2011,Total_2012,Africa_2012,Asia_2012,Europe_2012,Northern America_2012,Oceania_2012,Latin America_2012,Total_2013,Africa_2013,Asia_2013,Europe_2013,Northern America_2013,Oceania_2013,Latin America_2013,Abbreviations
Alabama,4278.0,441.0,1739.0,648.0,302.0,24.0,1189.0,3393.0,385.0,1489.0,489.0,189.0,19.0,899.0,3877.0,332.0,1680.0,507.0,212.0,25.0,1201.0,3891.0,582.0,1644.0,419.0,271.0,22.0,1087.0,3740.0,519.0,1840.0,434.0,206.0,14.0,803.0,4063.0,546.0,2000.0,406.0,286.0,30.0,943.0,3873.0,519.0,1784.0,330.0,220.0,7.0,1131.0,3848.0,456.0,1877.0,384.0,210.0,21.0,1000.0,AL
Alaska,1554.0,40.0,819.0,293.0,125.0,41.0,271.0,1617.0,68.0,966.0,222.0,94.0,42.0,256.0,1534.0,68.0,813.0,267.0,123.0,51.0,279.0,1608.0,83.0,958.0,221.0,134.0,42.0,230.0,1703.0,108.0,948.0,251.0,151.0,46.0,281.0,1799.0,125.0,1074.0,243.0,154.0,46.0,257.0,1612.0,118.0,910.0,186.0,162.0,37.0,293.0,1460.0,107.0,888.0,166.0,116.0,42.0,192.0,AK
Arizona,21530.0,1804.0,4628.0,2235.0,1200.0,122.0,11625.0,17528.0,1250.0,4291.0,1745.0,912.0,91.0,9650.0,20638.0,1711.0,4417.0,1673.0,1026.0,83.0,12258.0,20997.0,2559.0,5615.0,1454.0,948.0,89.0,10764.0,18243.0,1402.0,6189.0,1188.0,814.0,87.0,8952.0,20333.0,1502.0,7554.0,1157.0,849.0,79.0,9599.0,18434.0,1517.0,6225.0,967.0,781.0,83.0,9203.0,16097.0,1102.0,4900.0,1082.0,721.0,67.0,8516.0,AZ
Arkansas,2926.0,143.0,959.0,274.0,70.0,24.0,1465.0,2722.0,118.0,878.0,258.0,84.0,9.0,1382.0,2997.0,116.0,902.0,224.0,55.0,11.0,1705.0,2942.0,146.0,899.0,188.0,102.0,23.0,1601.0,2684.0,148.0,998.0,201.0,73.0,7.0,1277.0,2874.0,142.0,1075.0,167.0,80.0,12.0,1420.0,2795.0,129.0,1077.0,180.0,85.0,9.0,1345.0,2900.0,169.0,1109.0,178.0,95.0,11.0,1367.0,AR
California,264677.0,9384.0,121890.0,25822.0,3651.0,3001.0,100648.0,228941.0,8035.0,114231.0,19597.0,3598.0,2466.0,81587.0,238444.0,7783.0,111555.0,18496.0,3675.0,1900.0,95863.0,227876.0,8578.0,117446.0,14789.0,3821.0,2022.0,82067.0,208446.0,7138.0,114318.0,12202.0,3347.0,1893.0,70322.0,210591.0,7047.0,118087.0,11544.0,3105.0,1857.0,69622.0,196622.0,7150.0,107825.0,11121.0,3131.0,1732.0,66418.0,191806.0,7321.0,102464.0,12861.0,3135.0,1857.0,64237.0,CA
Colorado,12714.0,1843.0,3460.0,2181.0,420.0,160.0,4723.0,11039.0,1608.0,3237.0,1780.0,372.0,134.0,4009.0,12741.0,1799.0,3385.0,1779.0,444.0,120.0,5321.0,12841.0,2621.0,3600.0,1616.0,497.0,132.0,4535.0,12489.0,1886.0,4613.0,1387.0,434.0,144.0,4179.0,13547.0,2126.0,5166.0,1304.0,473.0,125.0,4550.0,13327.0,2471.0,5003.0,1086.0,505.0,128.0,4313.0,11108.0,1846.0,3899.0,1049.0,391.0,112.0,3913.0,CO
Connecticut,18700.0,1220.0,4345.0,4312.0,3109.0,85.0,8058.0,12932.0,963.0,3917.0,2644.0,2285.0,48.0,4965.0,12190.0,1004.0,3762.0,2444.0,2305.0,66.0,4539.0,13632.0,1185.0,4013.0,2555.0,2769.0,61.0,5371.0,12222.0,972.0,3892.0,2082.0,2682.0,44.0,4898.0,12577.0,1023.0,4223.0,2062.0,2708.0,39.0,4876.0,12237.0,1093.0,3941.0,1952.0,2597.0,46.0,4925.0,10985.0,860.0,3568.0,1672.0,2330.0,57.0,4489.0,CT
Delaware,2265.0,430.0,751.0,271.0,300.0,4.0,733.0,2085.0,412.0,812.0,213.0,227.0,8.0,583.0,2295.0,445.0,805.0,224.0,316.0,10.0,757.0,2184.0,507.0,787.0,213.0,308.0,6.0,607.0,2198.0,500.0,854.0,201.0,287.0,3.0,589.0,2355.0,476.0,1038.0,185.0,312.0,7.0,594.0,2208.0,497.0,857.0,156.0,331.0,6.0,662.0,2325.0,459.0,959.0,183.0,361.0,3.0,665.0,DE
District of Columbia,3775.0,1240.0,654.0,485.0,306.0,26.0,1221.0,2541.0,887.0,441.0,377.0,168.0,8.0,759.0,2652.0,870.0,543.0,411.0,182.0,25.0,711.0,2934.0,1006.0,549.0,438.0,312.0,24.0,791.0,2897.0,1037.0,609.0,376.0,289.0,12.0,795.0,2724.0,1001.0,578.0,365.0,192.0,15.0,708.0,2811.0,996.0,633.0,409.0,214.0,19.0,676.0,2981.0,1106.0,732.0,384.0,209.0,,644.0,DC
Florida,155996.0,3690.0,16807.0,12463.0,65818.0,292.0,79698.0,126277.0,2964.0,14135.0,9161.0,53109.0,166.0,95938.0,133445.0,2786.0,12287.0,8637.0,67427.0,170.0,105653.0,127006.0,3157.0,12726.0,8808.0,59511.0,197.0,98464.0,107276.0,2744.0,13065.0,7363.0,51430.0,169.0,80936.0,109229.0,2601.0,13409.0,7325.0,52945.0,174.0,82665.0,103047.0,2614.0,13243.0,7160.0,49411.0,175.0,77127.0,102939.0,2730.0,13023.0,7983.0,48197.0,177.0,76162.0,FL
Georgia,32202.0,6241.0,10414.0,3941.0,2871.0,147.0,10104.0,27353.0,4938.0,9489.0,3016.0,2727.0,104.0,8829.0,27769.0,5248.0,8762.0,2972.0,2680.0,96.0,9795.0,28396.0,5944.0,9900.0,2427.0,2654.0,101.0,9198.0,24833.0,4649.0,10173.0,1971.0,2425.0,77.0,7256.0,27015.0,5031.0,11310.0,1845.0,2381.0,77.0,8072.0,26134.0,4925.0,10911.0,1794.0,2377.0,53.0,7821.0,24387.0,4268.0,10369.0,1849.0,2052.0,80.0,7145.0,GA
Hawaii,7501.0,53.0,6323.0,378.0,165.0,266.0,316.0,7236.0,65.0,6227.0,266.0,121.0,291.0,265.0,6572.0,49.0,5648.0,276.0,137.0,193.0,286.0,6929.0,49.0,6058.0,265.0,126.0,191.0,253.0,7037.0,55.0,6250.0,259.0,111.0,165.0,197.0,7296.0,47.0,6502.0,269.0,116.0,174.0,205.0,6764.0,54.0,5967.0,243.0,133.0,170.0,211.0,6226.0,56.0,5437.0,264.0,119.0,126.0,184.0,HI
Idaho,2377.0,170.0,533.0,504.0,121.0,31.0,1033.0,2044.0,195.0,521.0,449.0,83.0,17.0,788.0,2766.0,240.0,561.0,535.0,101.0,42.0,1300.0,3120.0,482.0,1009.0,321.0,115.0,20.0,1194.0,2556.0,250.0,1099.0,210.0,100.0,15.0,892.0,2602.0,285.0,1162.0,194.0,86.0,18.0,858.0,2428.0,187.0,1003.0,206.0,80.0,15.0,946.0,2120.0,190.0,762.0,214.0,80.0,27.0,854.0,ID
Illinois,52459.0,3590.0,17774.0,14305.0,1242.0,136.0,15706.0,41971.0,2924.0,16621.0,9870.0,1027.0,106.0,11869.0,42723.0,3156.0,15259.0,8830.0,1122.0,116.0,14741.0,41889.0,3914.0,16138.0,8514.0,1285.0,137.0,12484.0,37909.0,3092.0,16574.0,7316.0,1090.0,88.0,10252.0,38325.0,3032.0,17689.0,6799.0,965.0,107.0,10152.0,38373.0,3563.0,16756.0,6751.0,950.0,98.0,10657.0,35988.0,3027.0,15863.0,6887.0,908.0,104.0,9526.0,IL
Indiana,8125.0,1153.0,3090.0,1281.0,433.0,49.0,2248.0,6639.0,905.0,2732.0,1034.0,284.0,31.0,1750.0,8028.0,1148.0,2968.0,1082.0,444.0,38.0,2508.0,9087.0,1388.0,4371.0,900.0,395.0,37.0,2136.0,8539.0,1158.0,4504.0,698.0,360.0,42.0,1929.0,8262.0,1140.0,4290.0,654.0,350.0,35.0,1985.0,8359.0,1237.0,4317.0,614.0,386.0,19.0,1967.0,7668.0,1177.0,3818.0,623.0,328.0,48.0,1816.0,IN
Iowa,4086.0,729.0,1167.0,631.0,140.0,38.0,1396.0,3103.0,400.0,1136.0,378.0,118.0,19.0,1062.0,3696.0,599.0,1242.0,397.0,138.0,17.0,1338.0,3963.0,982.0,1212.0,389.0,141.0,24.0,1272.0,4245.0,904.0,1736.0,327.0,118.0,19.0,1174.0,4624.0,781.0,2357.0,280.0,126.0,25.0,1097.0,4679.0,957.0,2238.0,259.0,114.0,15.0,1134.0,4105.0,742.0,1799.0,288.0,115.0,24.0,1184.0,IA
Kansas,4280.0,553.0,1540.0,388.0,143.0,19.0,1659.0,4141.0,538.0,1635.0,334.0,123.0,20.0,1523.0,5344.0,583.0,1881.0,372.0,144.0,34.0,2368.0,5319.0,841.0,2045.0,345.0,171.0,22.0,1977.0,5501.0,697.0,2354.0,307.0,156.0,16.0,2045.0,5086.0,656.0,2220.0,256.0,187.0,27.0,1853.0,4980.0,687.0,2197.0,255.0,157.0,18.0,1757.0,5000.0,674.0,2100.0,272.0,168.0,10.0,1836.0,KS
Kentucky,5506.0,760.0,1905.0,839.0,1045.0,30.0,986.0,4340.0,564.0,1612.0,797.0,574.0,27.0,1243.0,5315.0,985.0,1490.0,831.0,1094.0,23.0,1857.0,5260.0,1321.0,1963.0,489.0,797.0,21.0,1340.0,4930.0,896.0,2302.0,392.0,688.0,19.0,1206.0,5403.0,926.0,2728.0,339.0,730.0,23.0,1289.0,5243.0,941.0,2642.0,308.0,737.0,14.0,1228.0,5159.0,926.0,2307.0,366.0,831.0,21.0,1432.0,KY
Louisiana,2693.0,207.0,1274.0,306.0,240.0,12.0,713.0,3475.0,240.0,1522.0,391.0,312.0,18.0,1179.0,4011.0,280.0,1705.0,448.0,418.0,18.0,1407.0,4299.0,325.0,1793.0,422.0,482.0,20.0,1581.0,4397.0,363.0,1948.0,393.0,418.0,23.0,1516.0,4226.0,371.0,1920.0,379.0,456.0,15.0,1395.0,4454.0,406.0,2016.0,318.0,453.0,13.0,1566.0,4355.0,344.0,1866.0,377.0,447.0,20.0,1601.0,LA
Maine,1719.0,511.0,527.0,361.0,175.0,10.0,161.0,1488.0,442.0,453.0,291.0,144.0,24.0,180.0,1617.0,740.0,389.0,243.0,151.0,9.0,135.0,1675.0,819.0,369.0,239.0,136.0,9.0,150.0,1349.0,401.0,508.0,188.0,154.0,4.0,149.0,1467.0,384.0,601.0,212.0,153.0,19.0,168.0,1497.0,547.0,544.0,180.0,145.0,17.0,125.0,1208.0,399.0,395.0,177.0,138.0,10.0,137.0,ME
Maryland,30204.0,8808.0,9622.0,2805.0,2321.0,68.0,7849.0,24255.0,7368.0,8443.0,1919.0,1605.0,57.0,5844.0,27062.0,8406.0,9203.0,2506.0,1938.0,62.0,6067.0,26722.0,8485.0,9385.0,1880.0,2010.0,73.0,6259.0,26450.0,7962.0,9799.0,1727.0,2148.0,69.0,6263.0,25778.0,7840.0,10019.0,1683.0,1910.0,56.0,5614.0,24971.0,7786.0,9926.0,1555.0,1840.0,52.0,5054.0,25361.0,7824.0,9615.0,1674.0,1940.0,49.0,5566.0,MD
Massachusetts,35560.0,6281.0,9755.0,5945.0,6071.0,117.0,12417.0,30555.0,5673.0,8744.0,4432.0,5598.0,116.0,10781.0,30369.0,5543.0,9559.0,4420.0,5699.0,90.0,9936.0,32607.0,6282.0,9291.0,4380.0,7440.0,84.0,11739.0,31069.0,5148.0,10489.0,3581.0,7252.0,89.0,11081.0,32236.0,5578.0,11242.0,3498.0,7165.0,87.0,11088.0,31392.0,5631.0,11205.0,3300.0,6667.0,79.0,10548.0,29482.0,5037.0,9797.0,3770.0,6262.0,116.0,9972.0,MA
Michigan,20911.0,1930.0,10281.0,4893.0,1376.0,78.0,2595.0,18727.0,1418.0,10258.0,3855.0,1170.0,50.0,2340.0,17947.0,1673.0,9454.0,3323.0,1291.0,59.0,2595.0,18919.0,1863.0,11089.0,2963.0,1129.0,70.0,2185.0,18579.0,1456.0,12041.0,2421.0,1059.0,64.0,1869.0,18347.0,1383.0,11897.0,2320.0,932.0,43.0,2063.0,17494.0,1376.0,11315.0,2117.0,886.0,58.0,2040.0,16952.0,1439.0,10687.0,2170.0,879.0,66.0,1980.0,MI
Minnesota,18254.0,7308.0,6479.0,1965.0,480.0,51.0,2033.0,13814.0,5167.0,5280.0,1177.0,393.0,61.0,1818.0,15832.0,7659.0,4776.0,1170.0,389.0,52.0,1912.0,18020.0,9579.0,4963.0,1235.0,439.0,53.0,1886.0,12408.0,5076.0,4697.0,919.0,347.0,54.0,1419.0,12389.0,4804.0,4740.0,866.0,390.0,46.0,1673.0,12999.0,5115.0,5327.0,739.0,350.0,35.0,1562.0,12781.0,4672.0,5017.0,834.0,413.0,60.0,1894.0,MN
Mississippi,1480.0,107.0,704.0,183.0,116.0,8.0,411.0,1593.0,99.0,751.0,165.0,126.0,9.0,509.0,1679.0,148.0,768.0,158.0,125.0,5.0,550.0,1652.0,129.0,713.0,182.0,142.0,12.0,557.0,1709.0,147.0,845.0,130.0,169.0,4.0,518.0,1666.0,109.0,824.0,154.0,135.0,3.0,533.0,1583.0,111.0,734.0,124.0,137.0,7.0,570.0,1716.0,154.0,857.0,111.0,141.0,3.0,536.0,MS
Missouri,6857.0,1311.0,2303.0,1642.0,362.0,65.0,1294.0,6459.0,933.0,2592.0,1316.0,338.0,54.0,1403.0,7078.0,1076.0,2897.0,1325.0,355.0,57.0,1565.0,7142.0,1662.0,2836.0,940.0,415.0,58.0,1437.0,7151.0,1292.0,3285.0,852.0,456.0,53.0,1507.0,7048.0,1237.0,3446.0,725.0,454.0,34.0,1453.0,6635.0,1167.0,3303.0,583.0,396.0,55.0,1378.0,6345.0,1051.0,3152.0,697.0,366.0,42.0,1263.0,MO
Montana,505.0,19.0,173.0,141.0,77.0,17.0,88.0,575.0,28.0,200.0,131.0,97.0,20.0,105.0,543.0,42.0,186.0,125.0,76.0,14.0,107.0,553.0,59.0,194.0,110.0,83.0,9.0,107.0,457.0,52.0,174.0,98.0,62.0,8.0,70.0,511.0,56.0,203.0,121.0,67.0,9.0,64.0,503.0,64.0,187.0,94.0,70.0,8.0,87.0,445.0,35.0,180.0,98.0,60.0,,61.0,MT
Nebraska,3795.0,793.0,849.0,310.0,128.0,11.0,1726.0,3066.0,587.0,877.0,198.0,75.0,13.0,1340.0,3668.0,811.0,894.0,230.0,105.0,6.0,1669.0,3989.0,1137.0,1222.0,183.0,156.0,10.0,1384.0,4400.0,804.0,1812.0,176.0,246.0,5.0,1554.0,4535.0,846.0,1840.0,178.0,250.0,7.0,1627.0,4384.0,744.0,1924.0,120.0,241.0,11.0,1531.0,4141.0,670.0,1657.0,155.0,250.0,16.0,1590.0,NE
Nevada,14714.0,837.0,5256.0,1500.0,1276.0,117.0,5759.0,12308.0,766.0,4626.0,1134.0,1070.0,71.0,5463.0,11768.0,668.0,3906.0,904.0,1202.0,79.0,6029.0,12334.0,1003.0,4492.0,1003.0,1090.0,69.0,5532.0,10803.0,801.0,4435.0,842.0,884.0,73.0,4463.0,10449.0,866.0,4265.0,740.0,957.0,67.0,4339.0,10343.0,870.0,4094.0,757.0,970.0,67.0,4370.0,9886.0,813.0,3829.0,804.0,837.0,63.0,4166.0,NV
New Hampshire,2990.0,446.0,936.0,679.0,391.0,17.0,725.0,2272.0,339.0,849.0,462.0,243.0,26.0,475.0,2466.0,445.0,890.0,487.0,309.0,10.0,494.0,2483.0,556.0,914.0,356.0,334.0,20.0,542.0,2556.0,353.0,1312.0,309.0,329.0,13.0,487.0,2478.0,241.0,1461.0,261.0,257.0,11.0,430.0,2466.0,300.0,1310.0,276.0,301.0,16.0,481.0,2227.0,212.0,1156.0,328.0,253.0,,443.0,NH
New Jersey,65934.0,6333.0,21603.0,9153.0,10530.0,151.0,26300.0,55834.0,5360.0,20264.0,6736.0,9580.0,111.0,22086.0,53997.0,5144.0,21182.0,5855.0,9310.0,108.0,20494.0,58879.0,5774.0,21034.0,5593.0,12568.0,120.0,25138.0,56920.0,5571.0,20923.0,4947.0,13065.0,103.0,24331.0,55547.0,4976.0,21487.0,4773.0,11979.0,76.0,23245.0,50790.0,5158.0,19828.0,4352.0,10750.0,90.0,20388.0,53082.0,5387.0,19533.0,4761.0,11406.0,123.0,22199.0,NJ
New Mexico,3805.0,105.0,775.0,320.0,319.0,20.0,2284.0,3112.0,84.0,694.0,322.0,144.0,18.0,1937.0,3509.0,112.0,679.0,261.0,226.0,10.0,2376.0,3887.0,178.0,815.0,287.0,207.0,23.0,2517.0,3528.0,154.0,931.0,223.0,161.0,28.0,2134.0,3767.0,149.0,988.0,216.0,177.0,6.0,2345.0,3714.0,154.0,820.0,202.0,152.0,14.0,2476.0,3664.0,136.0,936.0,221.0,152.0,10.0,2315.0,NM
New York,180165.0,11603.0,63159.0,27754.0,41689.0,503.0,67110.0,136739.0,9703.0,50190.0,18676.0,33092.0,396.0,50667.0,143679.0,11020.0,54350.0,19528.0,34331.0,391.0,51293.0,150722.0,12046.0,58012.0,15113.0,42079.0,385.0,58494.0,147999.0,10513.0,55830.0,14269.0,43565.0,408.0,61031.0,148426.0,9952.0,65901.0,13052.0,38238.0,379.0,53951.0,149505.0,12557.0,63423.0,14497.0,37923.0,414.0,52475.0,133601.0,10486.0,54065.0,13630.0,34687.0,484.0,49040.0,NY
North Carolina,18989.0,2759.0,5797.0,2865.0,1375.0,106.0,6466.0,15469.0,2406.0,5388.0,1882.0,1020.0,57.0,5166.0,15174.0,2411.0,5259.0,1927.0,1086.0,63.0,4981.0,18562.0,2857.0,6602.0,1989.0,1341.0,89.0,6391.0,16112.0,2791.0,6644.0,1465.0,1126.0,92.0,4669.0,17571.0,2549.0,7720.0,1622.0,1130.0,60.0,5153.0,17487.0,2805.0,7619.0,1453.0,1191.0,55.0,5091.0,16798.0,2419.0,7136.0,1557.0,1237.0,77.0,5063.0,NC
North Dakota,649.0,219.0,162.0,138.0,83.0,3.0,47.0,496.0,115.0,184.0,109.0,-19.0,,35.0,662.0,259.0,197.0,102.0,56.0,5.0,43.0,843.0,401.0,234.0,84.0,82.0,6.0,41.0,1058.0,274.0,581.0,87.0,73.0,4.0,45.0,948.0,233.0,518.0,68.0,78.0,6.0,54.0,1144.0,339.0,568.0,85.0,76.0,3.0,97.0,1234.0,293.0,687.0,92.0,84.0,3.0,86.0,ND
Ohio,16592.0,4325.0,6174.0,3160.0,823.0,81.0,2238.0,14078.0,3509.0,5703.0,2501.0,676.0,66.0,1841.0,14595.0,4302.0,5404.0,2479.0,679.0,55.0,1914.0,15375.0,5045.0,6065.0,1988.0,752.0,66.0,1759.0,13585.0,3376.0,6405.0,1682.0,718.0,74.0,1626.0,13857.0,3342.0,6868.0,1581.0,694.0,52.0,1603.0,13948.0,3686.0,6825.0,1481.0,603.0,53.0,1580.0,13819.0,3304.0,6901.0,1564.0,653.0,58.0,1624.0,OH
Oklahoma,4591.0,465.0,1785.0,452.0,174.0,28.0,1718.0,4269.0,414.0,1645.0,391.0,134.0,29.0,1682.0,4306.0,390.0,1519.0,358.0,136.0,24.0,1908.0,5007.0,506.0,1963.0,335.0,154.0,18.0,2059.0,4627.0,479.0,1981.0,333.0,138.0,25.0,1722.0,4503.0,447.0,1984.0,296.0,152.0,19.0,1676.0,4646.0,527.0,1981.0,255.0,190.0,18.0,1749.0,4648.0,545.0,2034.0,279.0,154.0,12.0,1692.0,OK
Oregon,9192.0,752.0,3095.0,2503.0,415.0,121.0,2358.0,7905.0,602.0,3065.0,1530.0,373.0,142.0,2317.0,9028.0,682.0,3284.0,1779.0,471.0,110.0,2943.0,9026.0,1047.0,3405.0,1477.0,402.0,117.0,2763.0,7997.0,723.0,3853.0,974.0,321.0,136.0,2134.0,7694.0,745.0,3735.0,858.0,315.0,102.0,2057.0,7791.0,796.0,3604.0,854.0,329.0,108.0,2245.0,7171.0,603.0,3217.0,848.0,312.0,128.0,2162.0,OR
Pennsylvania,25958.0,3944.0,10002.0,5207.0,3350.0,113.0,5492.0,22811.0,3254.0,9530.0,4222.0,2696.0,81.0,5023.0,23646.0,3989.0,9287.0,4349.0,3039.0,80.0,5190.0,24105.0,4581.0,9663.0,3625.0,3670.0,84.0,5430.0,24130.0,3919.0,10722.0,3172.0,3955.0,87.0,5570.0,25397.0,4078.0,12071.0,2839.0,3879.0,77.0,5695.0,25032.0,4139.0,12004.0,2723.0,3772.0,62.0,5476.0,24720.0,3703.0,11554.0,2978.0,3873.0,84.0,5741.0,PA
Rhode Island,4778.0,1060.0,840.0,424.0,1095.0,12.0,2370.0,3354.0,727.0,620.0,290.0,855.0,10.0,1637.0,3735.0,939.0,654.0,306.0,956.0,10.0,1749.0,4156.0,1183.0,609.0,308.0,1210.0,13.0,1977.0,4027.0,930.0,648.0,211.0,1376.0,10.0,2171.0,3681.0,763.0,683.0,226.0,1168.0,11.0,1959.0,3798.0,864.0,707.0,256.0,1163.0,12.0,1903.0,3337.0,707.0,592.0,268.0,1045.0,9.0,1708.0,RI
South Carolina,5292.0,444.0,1492.0,1179.0,443.0,31.0,1844.0,4788.0,424.0,1456.0,815.0,418.0,27.0,1826.0,4241.0,358.0,1360.0,859.0,356.0,15.0,1477.0,4747.0,384.0,1593.0,833.0,428.0,22.0,1717.0,4401.0,457.0,1673.0,679.0,405.0,22.0,1360.0,4216.0,394.0,1590.0,691.0,388.0,32.0,1350.0,3924.0,341.0,1503.0,561.0,356.0,21.0,1351.0,4266.0,400.0,1693.0,593.0,386.0,24.0,1363.0,SC
South Dakota,1013.0,367.0,213.0,217.0,58.0,3.0,155.0,668.0,186.0,196.0,134.0,38.0,,92.0,773.0,281.0,232.0,81.0,42.0,,138.0,1271.0,649.0,297.0,142.0,53.0,,115.0,987.0,339.0,423.0,79.0,38.0,7.0,115.0,1337.0,450.0,609.0,86.0,52.0,14.0,142.0,1521.0,546.0,715.0,75.0,46.0,7.0,149.0,1231.0,271.0,728.0,67.0,34.0,,123.0,SD
Tennessee,10042.0,2511.0,3822.0,1209.0,468.0,71.0,2034.0,8942.0,1962.0,3410.0,912.0,434.0,51.0,2378.0,8348.0,2167.0,2954.0,868.0,440.0,36.0,2095.0,9042.0,2572.0,3261.0,840.0,530.0,39.0,2061.0,8156.0,1728.0,3663.0,621.0,436.0,73.0,1803.0,8279.0,1837.0,3817.0,573.0,429.0,48.0,1788.0,8573.0,1847.0,3956.0,556.0,431.0,46.0,1977.0,8380.0,1926.0,3739.0,646.0,382.0,51.0,1806.0,TN
Texas,89037.0,8623.0,24601.0,5261.0,3028.0,270.0,47680.0,77278.0,6757.0,22262.0,4389.0,2499.0,234.0,42262.0,89811.0,7458.0,24506.0,4944.0,3240.0,254.0,50901.0,95384.0,10255.0,28314.0,4796.0,3535.0,267.0,49988.0,87750.0,8474.0,30261.0,4158.0,2944.0,220.0,43259.0,94481.0,8459.0,33039.0,3940.0,3143.0,238.0,47310.0,95557.0,9513.0,32341.0,3834.0,3139.0,226.0,48071.0,92674.0,8901.0,30819.0,4304.0,3427.0,280.0,46607.0,TX
Total,1266264.0,117430.0,422333.0,164285.0,165313.0,7385.0,472057.0,1052415.0,94711.0,383508.0,120821.0,134789.0,6101.0,417999.0,1107126.0,105915.0,383608.0,119138.0,154102.0,5263.0,463569.0,1130818.0,127050.0,413312.0,105398.0,162448.0,5578.0,450097.0,1042625.0,101355.0,422063.0,88743.0,153531.0,5345.0,400108.0,1062040.0,100374.0,451593.0,83850.0,146749.0,4980.0,397583.0,1031631.0,107241.0,429599.0,81671.0,140690.0,4742.0,384391.0,990553.0,98304.0,400548.0,86556.0,135908.0,5277.0,373981.0,TO
Utah,5749.0,602.0,1228.0,745.0,304.0,211.0,2717.0,5168.0,339.0,1309.0,652.0,210.0,177.0,2556.0,6087.0,596.0,1440.0,664.0,272.0,170.0,3051.0,6466.0,880.0,2070.0,549.0,250.0,132.0,2671.0,6085.0,541.0,2146.0,438.0,238.0,199.0,2615.0,6426.0,582.0,2317.0,444.0,199.0,212.0,2740.0,5932.0,514.0,2090.0,440.0,243.0,147.0,2567.0,5503.0,515.0,1782.0,383.0,233.0,197.0,2473.0,UT
Vermont,895.0,246.0,243.0,189.0,129.0,16.0,89.0,791.0,230.0,259.0,166.0,61.0,15.0,70.0,771.0,159.0,202.0,260.0,82.0,7.0,73.0,792.0,226.0,262.0,156.0,90.0,7.0,81.0,867.0,156.0,439.0,125.0,95.0,9.0,70.0,943.0,160.0,513.0,110.0,109.0,7.0,75.0,877.0,142.0,476.0,126.0,76.0,6.0,74.0,838.0,65.0,475.0,135.0,106.0,6.0,89.0,VT
Virginia,38488.0,7157.0,14433.0,3471.0,1490.0,104.0,12326.0,29682.0,5167.0,12453.0,2658.0,1075.0,105.0,8797.0,30257.0,5526.0,13119.0,3050.0,1277.0,104.0,7824.0,29825.0,5527.0,13732.0,2639.0,1156.0,92.0,7331.0,28607.0,5306.0,14158.0,2010.0,1108.0,89.0,6575.0,27767.0,5076.0,14155.0,1942.0,1049.0,60.0,6099.0,28227.0,5429.0,13748.0,1945.0,1071.0,78.0,6637.0,27861.0,5002.0,13435.0,2182.0,1147.0,91.0,6701.0,VA
Washington,23805.0,3057.0,9600.0,6144.0,1067.0,377.0,3603.0,22657.0,2485.0,10139.0,4793.0,1301.0,374.0,3664.0,23170.0,2857.0,10267.0,4606.0,1071.0,275.0,4203.0,27562.0,4543.0,12207.0,5062.0,1364.0,354.0,4188.0,22283.0,2784.0,11736.0,3246.0,887.0,364.0,3395.0,23789.0,3123.0,13291.0,2816.0,878.0,263.0,3567.0,23060.0,3160.0,12347.0,2853.0,1034.0,266.0,3574.0,22994.0,2940.0,11993.0,3113.0,1045.0,320.0,3649.0,WA
West Virginia,764.0,78.0,345.0,131.0,59.0,7.0,164.0,721.0,66.0,347.0,129.0,44.0,12.0,136.0,798.0,92.0,361.0,144.0,56.0,4.0,148.0,734.0,97.0,386.0,92.0,50.0,9.0,116.0,729.0,83.0,390.0,101.0,65.0,7.0,99.0,830.0,109.0,439.0,118.0,70.0,6.0,124.0,779.0,124.0,382.0,93.0,61.0,8.0,151.0,760.0,117.0,391.0,71.0,76.0,,137.0,WV
Wisconsin,8341.0,688.0,3706.0,1506.0,315.0,55.0,2155.0,7381.0,597.0,3515.0,1181.0,301.0,47.0,1833.0,7306.0,707.0,2968.0,1155.0,273.0,30.0,2270.0,6727.0,989.0,2544.0,1022.0,347.0,48.0,1893.0,6189.0,663.0,2695.0,880.0,305.0,41.0,1722.0,6245.0,665.0,2820.0,842.0,264.0,32.0,1754.0,6049.0,768.0,2773.0,660.0,242.0,27.0,1693.0,5918.0,627.0,2797.0,739.0,254.0,18.0,1561.0,WI
Wyoming,376.0,23.0,123.0,80.0,34.0,16.0,100.0,380.0,14.0,137.0,68.0,28.0,5.0,133.0,458.0,22.0,138.0,93.0,50.0,10.0,147.0,429.0,30.0,143.0,67.0,26.0,12.0,151.0,452.0,39.0,171.0,62.0,32.0,7.0,141.0,420.0,48.0,127.0,77.0,21.0,4.0,149.0,427.0,34.0,161.0,69.0,33.0,4.0,134.0,522.0,54.0,150.0,80.0,51.0,,189.0,WY
