,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,694193,2439,1115,12784,1559,151183,7805,8370,1470,1016,87309,17761,675,3450,1473,29133,4085,1840,2687,2778,2496,999,15790,22812,10414,11044,965,4175,297,1876,8519,1607,33826,2434,76603,11360,369,9326,2966,5657,16162,1692,2682,4033,420,5396,52927,1167,686,3595,431,13782,17317,348,4434,228,6426
Africa,69738,324,58,1032,88,5686,1131,660,345,375,2388,3253,,53,80,2333,592,357,392,431,186,410,5017,3733,812,5401,68,652,20,483,649,202,3338,65,5770,1839,118,2680,387,471,2591,,602,435,141,1337,5409,90,11,339,74,2697,2460,37,437,19,1174
Asia,249940,1101,595,3156,547,78467,2133,2327,514,189,9868,6177,623,2665,337,10616,1635,521,1029,1066,1122,255,5317,6619,5739,3429,492,1581,83,483,3412,542,12553,451,26220,3857,97,3467,1112,1974,6700,,460,1352,100,2073,17671,388,78,789,118,6039,7108,159,1995,,2425
Europe,82209,296,191,1377,113,10760,1324,2014,152,142,7103,1936,,221,253,7569,560,357,177,533,208,179,1383,3585,2308,915,85,1018,89,154,852,402,4656,230,11460,1490,83,1611,280,1288,2734,54,,649,98,608,2953,154,17,406,130,1349,3962,63,712,33,666
North America,217750,553,175,6709,722,49466,2662,1840,362,207,43350,4419,9,234,724,7326,1057,531,922,566,757,116,2828,5555,1225,885,236,662,74,679,3110,250,7313,1591,22819,2833,57,1015,951,1678,3076,1305,1049,965,68,1012,23755,388,555,1320,69,2096,3063,54,1064,92,1351
Northern America,39330,96,76,437,26,1555,279,583,84,63,5194,781,9,94,61,435,152,61,58,93,132,72,633,2520,432,185,39,104,48,39,176,177,3540,45,12730,616,35,335,112,154,1507,1069,652,255,24,169,1161,75,522,143,62,467,596,22,155,15,271
Oceania,3734,,36,60,8,1568,73,25,3,8,100,57,13,157,14,51,13,9,14,17,7,5,40,79,33,23,8,40,7,,57,13,46,13,134,47,,37,21,74,42,0,,32,3,19,172,39,4,124,5,68,257,,20,,24
Latin America,248905,457,159,6715,776,53106,2863,2759,372,239,62629,5552,10,260,728,8100,1127,534,1015,632,829,78,3395,6276,1070,1090,273,770,50,640,3372,271,9687,1630,20267,3493,22,1168,1052,1696,2587,515,716,1309,54,1180,25532,421,50,1793,42,3151,2930,32,1113,90,1851
South America,70485,,60,443,80,5195,480,1502,94,95,24473,1914,10,120,65,1209,222,64,151,159,204,34,1200,3241,277,390,76,212,24,,438,198,5914,84,10178,1276,,488,213,172,1018,279,319,599,10,337,2938,108,17,616,35,1522,463,,204,13,771
Afghanistan,1998,0,0,85,0,661,32,20,5,0,32,53,0,0,19,33,5,5,5,5,3,4,29,29,23,7,0,33,,20,12,3,48,11,261,10,0,9,,20,25,0,,5,,17,94,0,0,18,0,247,29,0,,0,74
Albania,4267,3,4,40,,65,8,233,5,,510,10,0,,,244,6,3,,4,,6,34,490,595,8,0,56,0,,21,16,211,3,1122,23,0,73,10,8,245,,0,7,0,13,41,0,0,3,0,41,15,,47,0,32
Algeria,773,,0,6,,104,12,8,0,,52,11,0,0,0,43,9,4,,,7,0,19,86,21,4,,,,0,6,,52,0,101,15,,27,,,52,0,8,3,0,3,45,,0,0,,19,17,0,6,,14
American Samoa,205,0,14,,0,45,,0,0,0,0,,0,37,0,0,,0,4,3,0,0,0,0,0,0,0,3,0,0,4,0,,,0,,0,,4,3,0,0,0,5,0,,8,11,0,11,0,12,30,0,0,0,1
Andorra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,162,,,,0,6,,3,0,0,14,5,0,,,8,0,0,0,0,0,0,7,42,0,,0,0,0,4,,0,10,,7,5,0,0,,4,6,,8,0,0,0,11,0,0,0,0,4,,0,,0,1
Anguilla,38,0,0,0,0,,0,,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,5,,0,0,0,0,0,0,0,0,0,0,,0,17,0,0,0,0,0,0,0,0
Antigua-Barbuda,386,0,0,0,,10,0,11,,,52,21,0,,0,3,0,0,,,,0,8,10,0,4,,,0,0,0,0,23,,149,9,0,,,0,16,0,0,4,0,,8,,38,0,0,3,0,0,0,0,0
Argentina,3870,3,3,34,6,518,51,44,4,9,1530,64,0,20,3,81,12,4,13,13,15,0,64,76,36,21,6,15,,5,44,5,159,7,309,72,,30,9,15,72,40,10,24,0,25,171,,,57,,68,33,,24,,36
Armenia,3965,,0,21,,3352,20,7,,0,41,,,0,,20,,,0,,,,22,66,9,6,,4,0,0,67,,43,5,122,9,0,17,0,3,15,0,8,6,0,7,21,,0,4,,16,21,0,6,0,7
Aruba,40,,0,0,0,,0,0,0,0,7,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,11,0,0,,0,,0,,0,0,0,,4,,4,0,0,,0,0,0,0,0
Australia,1291,0,4,31,4,341,43,18,,7,58,29,3,21,6,33,11,6,3,3,5,,25,50,24,17,6,14,,,25,9,32,7,98,27,0,22,7,26,23,0,,12,,11,85,,0,16,3,27,60,,12,3,12
Austria,271,0,,5,0,55,7,6,0,,29,9,0,7,,9,,4,0,,0,,5,8,,3,,,0,0,6,0,6,,47,4,0,4,0,0,4,0,0,,0,,10,0,,,,10,6,0,4,0,2
Azerbaijan,1153,0,0,7,0,538,7,10,0,0,33,11,0,,,20,3,4,0,8,,3,15,34,20,12,0,8,0,0,5,4,15,0,205,8,,13,,10,33,0,5,0,0,5,27,0,0,6,0,16,54,0,,,3
Bahamas,609,5,0,,0,13,7,4,0,,361,56,0,,0,12,0,0,0,0,4,0,8,9,4,,6,5,0,,4,0,8,0,15,14,0,5,3,,4,,,7,0,5,17,3,0,0,0,10,,0,3,0,5
Bahrain,80,,0,,0,17,,0,0,,5,3,0,,0,8,0,0,0,0,0,0,,0,,,0,0,0,,0,0,3,0,7,0,0,,,,4,0,0,0,0,0,10,0,0,0,,5,,0,0,0,0
Bangladesh,7325,29,5,57,18,558,18,111,19,10,488,224,,14,,99,29,4,24,12,16,6,147,134,336,40,7,16,,,26,7,362,6,3284,53,4,62,43,19,226,0,,25,,24,404,,0,3,0,225,24,4,6,0,87
Barbados,648,,0,3,0,18,4,15,,0,83,30,0,,0,5,4,0,,,,0,23,49,,0,0,,0,0,,0,28,0,256,17,0,,0,0,27,0,3,7,0,0,25,,5,0,,17,3,0,,0,7
Belarus,1814,,5,13,3,290,46,17,6,,103,36,0,,3,115,13,4,,5,,6,47,92,16,70,3,16,,,10,4,89,3,339,25,0,28,11,24,94,0,,29,,7,23,,0,,,34,128,,18,0,18
Belgium,525,,0,11,3,96,10,17,,5,50,24,,,,21,5,,,,5,0,19,20,13,,,,,0,3,,31,6,38,8,,5,0,9,16,0,,3,,,39,,,5,0,15,10,0,4,0,4
Belize,742,,0,6,,242,3,3,,0,80,12,0,,,88,,,3,5,10,0,5,6,,,,,,0,18,0,18,3,102,13,0,3,5,,5,0,0,7,0,3,45,3,0,0,0,21,8,,5,,1
Benin,183,,0,0,0,14,3,4,0,0,4,8,0,0,0,20,12,,0,,0,,21,6,4,4,,4,0,,0,0,4,0,12,4,0,4,,0,17,0,,4,0,3,7,,0,,0,9,0,0,,,1
Bermuda,58,4,0,0,0,3,0,3,0,0,14,4,0,0,0,,,,,0,0,,4,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,0,,,0,0,,0,0,0,0,3,0,0,0,0,0
Bhutan,55,0,0,3,0,15,0,0,0,0,0,11,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,10,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,5,,0,0,,0
Bolivia,1446,7,,6,,142,16,8,,5,229,10,,0,,19,,,7,3,6,0,98,26,3,9,,,0,0,11,7,49,,104,8,0,8,3,7,16,4,28,16,0,7,68,3,0,15,0,350,13,5,3,0,116
Bosnia-Herzegovina,4259,6,,163,0,172,45,91,,,459,204,0,,62,306,56,179,8,194,15,18,19,63,182,87,4,427,0,26,54,59,48,0,272,53,44,157,,42,120,0,,4,18,50,157,4,0,89,32,55,133,0,51,0,23
Botswana,9,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brazil,10251,25,9,62,13,1009,73,378,14,12,2666,329,4,45,10,137,35,13,19,11,33,15,152,2017,78,45,8,31,3,6,66,97,708,11,641,113,4,88,22,31,140,5,58,74,,39,401,15,,111,15,136,89,,35,4,91
British Virgin Islands,48,0,0,0,0,,0,,0,,14,,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,3,,0,0,0,0,,0,0,,0,,,0,14,0,0,0,0,0,0,0,1
Brunei,11,,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Bulgaria,3103,11,3,71,7,409,52,32,9,4,242,114,0,6,,599,16,4,12,17,9,11,54,155,47,30,0,42,0,,131,13,101,6,260,31,3,32,9,23,95,0,,45,4,13,117,,0,9,0,74,114,,27,0,32
Burkina Faso,163,,0,,,9,,,,,4,7,0,0,0,6,0,0,0,,0,0,17,0,5,,,,0,,0,0,7,0,38,,0,5,,,7,0,0,,0,5,5,,0,0,0,8,9,0,3,0,3
Burma,2321,12,4,28,3,775,14,20,4,3,121,35,,11,5,49,132,4,16,10,7,7,146,25,30,59,6,3,0,13,18,,35,3,291,67,,41,13,15,38,0,7,11,,21,80,4,0,7,3,56,28,,11,0,21
Burundi,168,0,0,12,0,8,4,,0,0,,8,,0,0,5,3,,0,0,0,0,10,,0,4,0,0,0,,0,,,0,26,5,0,10,5,,5,0,,0,,,22,0,0,0,4,7,5,0,3,0,4
Cambodia,4589,28,3,28,7,2040,40,43,0,,98,72,0,8,,54,9,12,9,18,14,24,34,443,23,164,7,16,0,3,26,11,20,,62,39,3,59,5,51,229,0,70,19,0,16,274,,0,14,0,75,353,0,30,,28
Cameroon,2172,12,,25,9,115,16,9,15,16,45,144,0,,,70,4,4,5,15,,0,669,101,35,93,,27,0,9,6,8,47,5,76,25,,81,22,6,25,0,,29,,15,224,4,0,3,,71,15,4,15,0,40
Canada,9318,41,23,360,14,1254,229,146,22,18,1064,254,,71,51,282,91,45,32,56,34,60,134,309,354,138,18,73,42,29,134,90,233,36,550,293,25,211,52,138,236,,24,114,19,112,703,19,6,110,45,191,527,7,103,9,80
Cape Verde,974,0,0,0,0,,,18,0,0,8,,0,0,0,0,0,0,0,0,0,3,,732,,0,0,,0,0,0,,10,0,11,0,,0,3,0,,0,166,,0,0,,0,0,,0,,,0,0,0,4
Cayman Islands,15,0,0,0,0,0,0,0,0,0,7,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Central African Republic,34,0,0,0,0,3,0,0,0,0,,,0,0,,0,,,0,0,,0,6,0,,,0,0,0,0,0,0,,0,3,0,0,,0,0,3,0,0,0,0,0,4,0,0,0,0,,0,0,0,0,1
Chad,50,0,0,,0,,0,,0,0,,,0,0,0,,10,,0,,0,0,6,,0,0,0,,0,,0,0,,0,8,0,0,,0,3,,0,0,,0,0,3,0,0,,0,,0,0,0,0,0
Chile,1527,11,3,23,6,219,27,23,8,6,385,25,0,3,6,35,6,6,3,,7,,32,44,4,10,,8,0,10,18,0,93,7,154,34,0,14,5,15,27,7,,20,,10,62,,,38,,40,42,0,8,0,13
China,32864,132,28,251,49,10619,251,340,64,20,840,536,34,258,42,1079,173,65,91,88,107,31,670,1508,319,281,54,161,14,48,401,49,941,48,7329,404,10,393,116,336,1013,19,65,137,16,204,1447,30,6,94,15,439,840,23,149,6,181
Colombia,22693,54,19,131,16,1031,134,360,23,17,10883,796,,15,17,360,56,18,42,59,59,11,230,598,62,66,29,64,8,20,122,51,1710,25,2107,548,4,105,54,24,281,107,158,293,,116,1059,41,4,83,6,259,118,12,47,4,172
Comoros,8,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Congo DR,908,3,0,8,,48,37,19,,0,28,57,0,,,46,5,6,,11,,14,69,48,13,17,,16,0,5,,10,9,,57,102,0,19,,4,15,0,,5,3,12,132,,,7,5,28,15,,6,0,10
Congo R,345,3,,6,0,31,8,5,0,3,9,18,0,0,0,23,3,,0,3,,3,25,11,5,5,,4,0,,4,0,7,,41,23,,10,0,,10,0,0,,0,7,31,0,0,,5,10,8,0,,0,8
Costa Rica,1511,8,0,17,4,173,13,31,3,3,374,37,0,7,3,36,5,3,5,,9,,35,34,15,11,5,3,,0,20,,207,8,90,63,,13,9,8,36,12,5,28,,21,69,4,0,8,,22,15,0,15,0,16
Cote d'Ivoire,694,6,0,6,,35,13,14,5,,14,55,0,0,0,18,9,5,,,,,82,29,10,9,,6,0,,,0,31,0,152,18,0,21,,4,28,0,,5,0,7,44,,,,,18,14,0,8,0,6
Croatia,569,,0,14,0,38,8,7,4,,51,19,0,,4,48,18,6,0,,5,6,3,22,12,8,,10,,0,14,5,24,0,57,11,4,44,0,3,18,0,0,3,6,5,23,0,0,7,,11,14,,18,0,7
Cuba,21071,17,,101,4,283,21,27,3,,18029,108,0,4,3,77,9,3,8,162,48,,26,44,55,13,12,26,0,12,265,,407,48,261,80,0,25,15,65,93,108,5,31,,39,309,10,,26,0,47,22,0,16,0,97
Cyprus,115,0,0,4,0,19,,4,0,,9,,0,0,0,5,,0,,,0,0,,5,,0,0,0,0,0,,0,7,,23,,0,,0,0,,0,0,,0,0,7,0,0,,,6,3,0,0,0,0
Czech Republic,485,7,5,5,3,66,18,4,,,105,15,0,0,,32,,,,3,0,,13,15,4,3,,,,,9,4,21,,25,12,0,7,,7,11,0,0,9,0,4,18,,0,5,0,10,14,0,8,,3
Czechoslovakia,310,4,3,5,0,42,12,4,,,48,6,0,5,0,23,,0,0,,,,4,8,7,,,4,,0,3,,16,,16,6,0,4,,5,8,0,,,,3,15,4,0,8,,4,12,3,,0,3
Denmark,124,0,0,6,0,36,3,,0,0,11,,0,,,3,,0,,,0,0,8,4,3,,,,,,,0,5,,5,0,0,0,0,,3,0,0,0,0,,7,0,0,,0,3,5,0,0,0,0
Djibouti,22,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,4,0,,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,0,0,0,0
Dominica,594,,6,4,,9,,15,,0,94,21,0,,0,8,,0,,0,,0,10,27,,,0,,0,0,0,0,37,,120,5,0,,,0,6,4,0,6,0,4,41,,135,0,0,4,4,,0,0,13
Dominican Republic,20508,20,34,30,5,75,16,288,36,17,2285,145,0,6,3,64,41,8,12,21,71,4,145,1913,42,13,9,14,,,18,79,2802,,8684,176,0,84,23,7,1013,1052,603,49,,23,109,23,122,28,,96,26,3,41,0,121
East Timor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,6929,4,9,25,7,346,18,267,8,9,1185,82,0,6,0,292,15,10,18,13,10,0,95,95,7,75,3,26,4,7,32,5,1274,4,2168,152,0,29,13,9,143,13,12,39,0,19,143,9,,38,,96,20,0,20,0,53
Egypt,5848,19,,43,5,999,17,48,24,5,351,58,,,,137,56,4,4,14,31,4,68,239,100,62,0,21,0,3,20,21,1061,3,747,152,,98,22,29,251,0,18,52,,380,217,,0,3,,242,81,5,22,3,99
El Salvador,13834,18,13,124,117,5346,108,41,10,76,508,222,,4,15,120,56,42,62,12,28,9,847,460,20,75,10,36,0,55,315,5,369,15,1083,287,,45,27,56,57,11,30,46,11,71,1812,21,0,98,,589,128,3,22,4,290
Equatorial Guinea,9,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,985,,0,14,,203,35,3,4,20,11,36,0,0,0,24,10,,0,,4,,72,19,7,45,0,7,0,,35,0,4,0,27,28,0,32,4,14,13,0,0,4,7,10,87,0,,4,0,61,107,0,,0,21
Estonia,217,0,0,0,,34,8,,0,0,35,,0,0,,11,,0,0,,0,0,5,7,4,8,0,3,0,,,0,16,,18,4,0,6,,,7,0,,0,0,,3,,0,,0,7,21,0,,0,1
Ethiopia,8519,12,4,85,0,960,329,23,10,215,107,567,0,7,6,201,31,14,49,26,18,9,833,201,52,799,,89,0,27,368,0,65,4,169,137,,226,16,101,132,0,8,20,51,196,657,3,0,26,0,691,656,8,16,0,291
Fiji,1118,0,5,7,0,887,,,,0,,,0,16,,10,,0,4,,0,0,,8,,0,0,,,0,7,0,4,3,3,,0,,,24,,0,0,,0,0,17,3,,4,,7,80,0,0,0,1
Finland,344,,0,5,0,66,5,3,0,,58,19,0,,0,9,4,0,,,,3,6,15,3,,0,,0,,,,13,4,21,14,0,3,4,6,5,,0,,0,,29,,0,4,,4,11,0,,0,5
France,2527,9,3,42,4,576,32,29,7,10,330,55,,12,4,57,12,7,8,9,18,5,92,115,33,25,,8,8,,34,10,97,10,320,46,0,26,8,28,50,3,7,27,,19,142,3,7,6,3,44,63,4,26,,28
French Polynesia,14,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,,0,0,,0,0,0,0
Gabon,53,,0,0,0,4,,,,0,3,,0,0,0,0,0,0,0,0,0,0,8,,,0,0,0,0,6,0,0,,0,5,0,0,,0,,3,0,0,0,0,,4,,0,0,0,,0,0,0,0,1
Gambia,505,,8,,,13,,,,0,5,46,0,,0,3,0,3,10,8,,,61,10,13,15,0,4,0,,,0,,0,78,37,0,20,,3,15,0,10,5,0,9,16,3,0,0,0,8,56,0,22,0,5
Georgia,1253,0,,6,0,308,13,7,0,,43,22,0,0,6,38,,0,0,4,3,0,25,20,5,4,,6,0,,13,,111,,383,7,0,27,,15,60,0,,,0,7,17,0,0,3,,11,60,0,3,0,9
Germany,4461,54,15,105,17,724,121,55,8,13,487,155,4,41,22,145,42,10,31,47,16,13,116,126,102,33,8,46,17,8,39,23,137,35,269,152,6,84,34,71,126,8,12,80,7,53,268,40,,30,13,130,151,9,45,,54
Ghana,4690,8,,34,7,131,73,95,36,5,80,261,,4,4,260,22,8,14,32,,,388,270,22,87,6,12,3,9,11,4,420,6,961,112,,283,51,7,142,0,26,34,,38,233,16,0,6,5,306,32,,16,,100
Gibraltar,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Greece,844,,0,13,0,118,6,24,4,,64,9,0,3,0,75,5,,,,3,0,25,67,24,5,,3,0,,10,13,35,,169,17,0,17,,,35,,4,12,0,6,26,,0,6,3,7,13,0,3,0,4
Grenada,528,,0,0,0,5,0,9,,5,47,12,0,0,0,,0,0,0,0,0,0,21,6,,,0,,0,0,0,0,21,0,328,7,0,,,,7,0,0,6,0,5,16,,4,,,10,,0,0,0,2
Guatemala,7285,30,4,130,26,2878,75,81,5,9,552,131,0,9,12,271,47,27,25,22,26,6,158,347,18,41,3,27,3,63,128,8,309,18,401,81,,36,43,66,44,8,203,28,6,58,432,8,0,64,,133,72,,22,,86
Guinea,575,4,0,6,0,7,10,9,11,,9,54,0,0,0,9,12,0,,,0,0,50,23,13,21,,0,0,0,0,,21,0,156,12,0,35,,,43,0,6,3,0,14,7,,0,,,10,10,0,,0,5
Guinea-Bissau,29,0,0,3,0,4,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,3,7,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,5413,8,0,5,3,57,,114,11,7,630,152,0,3,0,24,3,3,4,3,9,0,144,43,11,88,5,9,0,,11,,417,0,3291,31,0,34,5,,77,,,20,0,11,78,12,3,0,,43,7,3,,0,23
Haiti,14191,14,4,17,,81,19,256,51,5,7980,322,0,6,4,86,21,,8,19,27,4,153,1365,17,12,,38,0,5,19,10,721,3,2057,52,,25,19,10,305,6,79,46,0,32,63,24,25,8,,67,20,3,,0,75
Honduras,3980,23,5,29,14,469,37,34,4,5,905,99,0,3,,74,29,11,14,11,211,0,98,128,9,23,5,13,0,17,38,7,244,4,442,119,,28,25,14,47,8,8,35,,32,420,8,0,22,0,94,26,,22,,58
Hong Kong,2184,8,,36,3,910,14,14,3,,65,32,4,39,,51,6,,7,9,7,,27,103,16,12,,8,0,0,26,4,54,,328,15,0,16,6,14,27,,3,15,,6,124,0,0,6,,15,109,,11,0,15
Hungary,953,6,,24,,155,21,24,,,209,10,0,,,26,3,0,0,4,0,0,11,25,12,5,,4,0,,18,,63,3,109,17,,30,5,7,29,0,,5,0,4,39,,0,4,0,23,20,0,9,0,8
Iceland,76,0,0,0,0,8,,,,0,15,,0,,,4,,0,0,0,,0,,6,,0,0,0,0,0,,0,,,,,0,,0,0,,0,0,0,0,0,3,0,0,0,,5,5,0,,0,3
India,45985,259,13,550,121,9549,260,712,175,30,1834,1898,0,19,19,3074,508,95,232,266,134,34,1005,1434,1086,420,109,347,6,85,214,154,4929,81,3326,1053,12,1038,184,283,1971,,68,326,17,517,4216,,9,64,27,1193,1118,30,391,8,475
Indonesia,2345,9,,25,3,942,52,10,,,56,94,0,14,,49,7,9,11,12,7,4,32,26,6,9,0,7,0,6,33,51,66,,229,35,0,30,11,23,164,0,3,13,0,11,138,4,0,9,0,42,56,,15,,12
Iran,9286,24,3,165,8,5191,85,36,6,4,231,182,,4,5,214,22,14,31,18,15,9,283,124,60,40,7,47,,12,99,8,130,9,298,92,5,73,51,74,83,,6,27,,83,647,0,0,68,,334,191,7,30,0,123
Iraq,3360,11,0,158,0,609,27,10,,,55,36,0,3,5,190,10,6,,17,7,5,20,21,1269,31,,40,0,37,18,5,21,12,61,19,0,31,14,22,43,,3,25,3,183,131,,0,28,0,80,40,,4,0,41
Ireland,1171,,,24,,188,14,27,3,8,68,20,0,0,,62,5,3,,6,,5,18,144,9,6,0,5,,3,3,17,57,,230,22,0,21,3,13,35,0,7,8,0,5,40,,,4,,17,37,,10,0,6
Israel,3153,9,,37,5,733,24,10,5,4,416,74,0,7,0,116,13,3,10,10,5,3,43,102,35,16,,20,,,58,12,198,,671,36,0,58,,9,76,4,5,13,0,22,143,,4,4,,31,48,,21,0,27
Italy,2231,15,,23,,326,28,53,7,7,270,46,3,10,,68,12,7,,9,7,3,45,123,51,9,,8,,,24,7,178,7,387,59,0,33,5,15,115,5,15,15,0,10,63,17,0,12,,39,45,,15,0,22
Jamaica,14591,14,3,42,7,247,24,635,69,23,4532,804,,9,,172,24,10,10,27,17,12,468,422,63,31,16,35,,,22,7,850,8,4382,155,,87,51,11,437,5,19,139,0,34,230,50,8,5,,187,39,8,35,,95
